player_id,player_name,team_abbreviation,team_short_name,team_name,position,minutes_played,goals_added_raw_dribbling,goals_added_raw_fouling,goals_added_raw_interrupting,goals_added_raw_passing,goals_added_raw_receiving,goals_added_raw_shooting,goals_added_above_avg_dribbling,goals_added_above_avg_fouling,goals_added_above_avg_interrupting,goals_added_above_avg_passing,goals_added_above_avg_receiving,goals_added_above_avg_shooting,season_name,base_salary,guaranteed_compensation,mlspa_release,birth_date,nationality,height_ft,height_in,weight_lb
0Oq630dXQ6,Kevin Cabral,COL,Colorado,Colorado Rapids,ST,1312,-0.0513,-0.0086,0.7891,-0.4271,1.5974,0.5140,-0.0561,-0.1405,0.2086,-0.2997,-0.2662,-0.2388,2023,1800000,1800000,2023-09-15,1999-07-10,France,NA,NA,NA
0Oq632k7Q6,Danny Leyva,COL,Colorado,Colorado Rapids,CM,746,-0.1958,-0.3335,0.3973,0.1148,0.2581,0.0969,-0.2524,-0.3463,-0.0804,-0.0955,-0.2321,-0.1482,2023,200000,224900,2023-09-15,2003-05-05,USA,5,10,139
0Oq633E7Q6,Abdi Salim,ORL,Orlando City,Orlando City SC,CB,172,-0.0286,0.0000,0.2483,0.0070,0.0046,0.0000,-0.0320,0.0179,0.1152,-0.0869,-0.0334,-0.0192,2023,67360,67360,2023-09-15,2001-04-01,USA,NA,NA,NA
0Oq63DL6Q6,Cody Baker,SEA,Seattle,Seattle Sounders FC,FB,782,0.0199,0.0051,0.7919,0.5197,0.1749,0.0000,-0.0417,0.0419,0.2971,0.2009,-0.0026,-0.0945,2023,67360,73064,2023-09-15,2004-01-07,USA,5,10,154
0Oq63JA7Q6,Wyatt Omsberg,CHI,Chicago,Chicago Fire FC,CB,801,-0.0959,-0.0347,0.9481,0.4074,0.0534,0.0000,-0.1115,0.0487,0.3282,-0.0300,-0.1235,-0.0896,2023,170000,187000,2023-09-15,1995-09-21,USA,6,4,181
0Oq63lbzQ6,Themi Antonoglou,TOR,Toronto,Toronto FC,FB,521,0.1157,-0.0600,0.1645,-0.1078,0.0729,0.0386,0.0691,-0.0444,-0.1601,-0.2975,-0.0951,-0.0498,2023,68775,72880,2023-09-15,2001-06-02,Canada,5,6,126
0Oq63P32Q6,Nkosi Burgess,FCD,Dallas,FC Dallas,CB,3075,-0.1721,-0.0928,2.6889,1.8849,1.0169,0.4667,-0.2322,0.2273,0.3091,0.2057,0.3375,0.1227,2023,240750,240750,2023-09-15,1997-03-23,USA,6,4,185
0Oq63Ym2Q6,Ryan Spaulding,NER,New England,New England Revolution,FB,768,-0.0113,0.0397,0.4986,-0.0346,0.1176,0.0630,-0.0743,0.0756,0.0021,-0.3522,-0.0607,-0.0347,2023,85444,85444,2023-09-15,1998-09-10,USA,5,8,165
0Oq6712Q6D,Ashley Westwood,CLT,Charlotte,Charlotte FC,CM,2922,-0.6158,0.3265,2.1084,1.3918,1.0499,0.3183,-0.9009,0.3847,0.0012,0.2659,-0.0437,-0.3518,2023,750000,850000,2023-09-15,1990-04-01,England,5,9,176
0Oq6bAPq6D,Douglas Costa,LAG,LA Galaxy,LA Galaxy,W,1342,1.3929,-0.0402,0.4384,0.7352,1.0677,0.8345,1.1721,-0.1542,-0.2210,0.5646,-0.2142,0.2013,2023,3000000,4508333,2023-09-15,1990-09-14,Brazil,5,8,154
0Oq6ENn256,Danny Musovski,RSL,Salt Lake,Real Salt Lake,ST,1347,-0.3275,-0.0683,0.2333,-0.9692,3.2601,0.7602,-0.1283,-0.2455,-0.2508,-0.5409,0.6230,-0.1937,2023,98687,98687,2023-09-15,1995-11-30,USA,6,0,161
0Oq6LeJ7M6,Philip Quinton,CLB,Columbus,Columbus Crew,CB,1055,-0.1447,-0.2619,0.5259,0.4859,0.0965,0.0520,-0.1653,-0.1521,-0.2906,-0.0903,-0.1366,-0.0660,2023,67360,67360,2023-09-15,1999-11-16,USA,NA,NA,NA
0Oq6lLZgM6,Maximiliano Urruti,ATX,Austin,Austin FC,ST,1121,-0.0822,0.0592,0.4857,-0.4460,1.5755,0.7344,0.0818,-0.0879,0.0817,-0.0921,-0.6127,-0.0579,2023,700000,736250,2023-09-15,1991-02-22,Argentina,6,0,165
0Oq6lrerM6,Gastón Giménez,CHI,Chicago,Chicago Fire FC,DM,2440,0.3050,-0.1680,2.2538,1.0847,0.4469,0.4582,0.0442,-0.0849,0.4304,0.0332,-0.3567,-0.0431,2023,1600000,1633333,2023-09-15,1991-07-27,Argentina,6,2,181
0Oq6lyNdM6,Wil Trapp,MIN,Minnesota,Minnesota United FC,DM,2640,0.2861,-0.1083,1.8410,2.2640,0.1102,0.3185,-0.0073,-0.0286,-0.1245,1.0790,-0.7804,-0.2399,2023,850000,850000,2023-09-15,1993-01-15,USA,5,8,152
0Oq6w6j2Q6,Gabriel Segal,NYC,New York City,New York City FC,ST,473,-0.2619,0.0347,0.2952,-0.3488,0.8232,0.3498,-0.1734,-0.0317,0.1368,-0.1716,-0.1709,-0.0023,2023,67360,67360,2023-09-15,2001-05-17,USA,5,10,161
0Oq6w6WPQ6,Miguel Tapias,MIN,Minnesota,Minnesota United FC,CB,3136,0.2042,-0.3184,2.0446,1.5451,0.3146,0.2713,0.1430,0.0080,-0.3823,-0.1675,-0.3783,-0.0795,2023,500012,586887,2023-09-15,1997-01-09,Mexico,5,10,154
0Oq6w947Q6,Michael Baldisimo,SJE,San Jose,San Jose Earthquakes,CM,358,-0.0775,-0.3272,-0.0222,0.0580,0.0250,0.0000,-0.1129,-0.3262,-0.2683,-0.0742,-0.1363,-0.0948,2023,85444,85444,2023-09-15,2000-04-13,Canada,5,6,154
0Oq6wel7Q6,Cameron Duke,SKC,Kansas City,Sporting Kansas City,FB,152,0.0566,0.0004,0.0970,-0.0178,0.0198,0.0000,0.0544,-0.0013,0.0102,-0.0469,-0.0943,-0.0475,2023,137500,140500,2023-09-15,2001-02-13,USA,5,7,135
0Oq6wjlzQ6,Jack Skahan,SJE,San Jose,San Jose Earthquakes,W,428,-0.1272,0.2405,0.1316,-0.0635,0.6290,0.1601,-0.1645,0.2115,-0.0945,-0.0882,0.1798,-0.0406,2023,88200,88200,2023-09-15,1998-02-07,USA,5,10,165
0Oq6wmydQ6,Denil Maldonado,LAFC,Los Angeles FC,Los Angeles FC,CB,1880,0.0059,-0.5617,-0.1907,1.0313,0.6579,0.1345,-0.0467,-0.3813,-1.6077,0.0418,0.2408,-0.0783,2023,355000,386167,2023-09-15,1998-05-26,Honduras,5,10,NA
0Oq6wv26Q6,Jonathan Lewis,COL,Colorado,Colorado Rapids,ST,1341,0.0580,0.3773,0.3790,-0.1913,1.1321,0.5906,0.0249,0.2211,-0.1794,-0.0248,-0.8712,-0.2289,2023,410000,435000,2023-09-15,1997-06-04,USA,5,7,150
0Oq6wxj6Q6,Judson,SJE,San Jose,San Jose Earthquakes,CM,559,0.0028,-0.0552,0.6817,0.0828,0.0179,0.0002,-0.0539,-0.0492,0.2892,-0.1160,-0.2189,-0.1398,2023,250000,250000,2023-09-15,1993-05-25,Brazil,5,7,143
0x5g2EKLM7,Indiana Vassilev,STL,St. Louis,St. Louis City SC,CM,2505,0.9330,0.6542,1.1001,0.4528,0.7099,0.7841,0.6545,0.6055,-0.4968,-0.3260,-0.7246,-0.0067,2023,250000,281250,2023-09-15,2001-02-16,USA,5,8,159
